groupId,userId,delayStrategy,revealStrategy,understanding,comfort,ease of use,satisfaction,awareness,naturalness,ability to follow,observerSatisfaction,condition,runId
2,2,sentence,perfect,7,5,4,5,2,1,2,1,sentence_perfect,1
2,1,sentence,perfect,7,7,7,7,7,6,7,6,sentence_perfect,0
2,2,sentence,pasting,7,7,4,6,4,3,3,4,sentence_pasting,1
2,1,sentence,pasting,7,7,7,7,7,7,7,7,sentence_pasting,0
2,2,real-time,normal,7,7,7,7,7,7,7,7,real-time_normal,1
2,1,real-time,normal,7,5,7,6,7,7,7,7,real-time_normal,0
2,2,manual,pasting,7,6,5,5,4,3,3,4,manual_pasting,1
2,1,manual,pasting,7,7,6,6,3,3,3,3,manual_pasting,0
3,2,sentence,pasting,5,3,5,4,6,2,5,4,sentence_pasting,3
3,1,sentence,pasting,7,6,6,6,5,3,5,3,sentence_pasting,2
3,1,manual,pasting,7,3,2,2,3,2,5,2,manual_pasting,2
3,2,manual,pasting,6,3,6,5,5,4,5,5,manual_pasting,3
3,2,sentence,perfect,5,5,4,5,6,7,6,5,sentence_perfect,3
3,1,sentence,perfect,7,3,2,2,3,2,2,2,sentence_perfect,2
3,2,real-time,normal,7,6,6,6,7,5,6,5,real-time_normal,3
3,1,real-time,normal,7,7,7,7,7,7,7,7,real-time_normal,2
4,1,manual,pasting,7,5,6,6,7,6,7,7,manual_pasting,4
4,2,manual,pasting,7,6,1,2,1,2,1,1,manual_pasting,5
4,1,real-time,normal,7,3,5,4,7,5,7,6,real-time_normal,4
4,2,real-time,normal,7,5,6,6,7,5,6,5,real-time_normal,5
4,1,sentence,pasting,7,6,7,7,7,7,7,7,sentence_pasting,4
4,2,sentence,pasting,7,7,7,6,4,5,5,5,sentence_pasting,5
4,1,sentence,perfect,7,7,6,6,7,5,7,6,sentence_perfect,4
4,2,sentence,perfect,7,6,6,5,5,5,4,5,sentence_perfect,5
5,2,real-time,normal,7,6,7,7,7,7,7,5,real-time_normal,7
5,1,real-time,normal,7,3,7,4,7,7,7,6,real-time_normal,6
5,2,sentence,perfect,7,7,5,5,1,1,1,1,sentence_perfect,7
5,1,sentence,perfect,7,5,7,4,5,3,3,4,sentence_perfect,6
5,2,manual,pasting,4,7,1,1,1,1,1,1,manual_pasting,7
5,1,manual,pasting,7,7,7,6,2,6,2,3,manual_pasting,6
5,2,sentence,pasting,7,7,7,7,4,5,2,5,sentence_pasting,7
5,1,sentence,pasting,7,6,7,6,6,5,6,6,sentence_pasting,6
